6773.thousand_nights_vol07_29_burton_64kb_0|“Do what seemeth good to thee.
606.moll_flanders_15_defoe_64kb_18|“they can’t be so base to stop me, when I carry it to them again?
606.moll_flanders_15_defoe_64kb_19|“You don’t know those sort of people, child,
606.moll_flanders_15_defoe_64kb_20|“they’ll not only carry you to Newgate, but hang you too, without any regard to the honesty of returning it; or bring in an account of all the other tankards they have lost, for you to pay for.
606.moll_flanders_15_defoe_64kb_21|“What must I do, then?
606.moll_flanders_15_defoe_64kb_22|“as you have played the cunning part and stole it, you must e’en keep it; there’s no going back now. Besides, child,
606.moll_flanders_15_defoe_64kb_23|“don’t you want it more than they do? I wish you could light of such a bargain once a week.”
606.moll_flanders_15_defoe_64kb_24|“O mother!
606.moll_flanders_15_defoe_64kb_25|“that is a trade I have no skill in, and if I should be taken I am undone at once.
606.moll_flanders_15_defoe_64kb_26|“I could help you to a schoolmistress that shall make you as dexterous as herself.
606.moll_flanders_15_defoe_64kb_27|“then it was those rogues that thrust me down, I warrant ye; I wonder the gentlewoman did not miss her watch before, then we might have taken them.”
606.moll_flanders_15_defoe_64kb_28|“Go on, go on; you have had very good luck; go on till you have gotten four or five hundred pounds, and then you shall leave off, and then you may live easy without working at all.”
606.moll_flanders_14_defoe_64kb_0|“fear it not; how were we nursed ourselves? Are you sure you was nursed up by your own mother? and yet you look fat and fair, child,
606.moll_flanders_14_defoe_64kb_1|“Never be concerned, child,
606.moll_flanders_14_defoe_64kb_2|“I have no murderers about me; I employ the best and the honestest nurses that can be had, and have as few children miscarry under their hands as there would if they were all nursed by mothers; we want neither care nor skill.”
606.moll_flanders_14_defoe_64kb_3|“this creature cannot be a witch, or have any conversation with a spirit, that can inform her what was done with me before I was able to know it myself
606.moll_flanders_14_defoe_64kb_4|“It may be true, mother,
606.moll_flanders_14_defoe_64kb_5|“for aught I know, but my doubts are very strongly grounded indeed.
606.moll_flanders_14_defoe_64kb_6|“let’s hear some of them.
606.moll_flanders_14_defoe_64kb_7|“Why, first,
606.moll_flanders_14_defoe_64kb_8|“you give a piece of money to these people to take the child off the parent’s hands, and to take care of it as long as it lives. Now we know, mother,
606.moll_flanders_14_defoe_64kb_9|“that those are poor people, and their gain consists in being quit of the charge as soon as they can; how can I doubt but that, as it is best for them to have the child die, they are not over solicitous about life?”
606.moll_flanders_14_defoe_64kb_10|“This is all vapours and fancy,
606.moll_flanders_14_defoe_64kb_11|“I tell you their credit depends upon the child’s life, and they are as careful as any mother of you all.”
606.moll_flanders_14_defoe_64kb_12|“A fine story!
606.moll_flanders_14_defoe_64kb_13|“You would see the child, and you would not see the child; you would be concealed and discovered both together. These are things impossible, my dear; so you must e’en do as other conscientious mothers have done before you, and be contented with things as they must be, though they are not as you wish them to be.”
606.moll_flanders_14_defoe_64kb_14|“Come, my dear,
606.moll_flanders_14_defoe_64kb_15|“I have found out a way how you shall be at a certainty that your child shall be used well, and yet the people that take care of it shall never know you, or who the mother of the child is.”
606.moll_flanders_14_defoe_64kb_16|“if you can do so, you will engage me to you for ever.
606.moll_flanders_14_defoe_64kb_17|“are you willing to be a some small annual expense, more than what we usually give to the people we contract with?
606.moll_flanders_14_defoe_64kb_18|“with all my heart, provided I may be concealed.
606.moll_flanders_14_defoe_64kb_19|“you shall be secure, for the nurse shall never so much as dare to inquire about you, and you shall once or twice a year go with me and see your child, and see how ’tis used, and be satisfied that it is in good hands, nobody knowing who you are.”
606.moll_flanders_14_defoe_64kb_20|“do you think, mother, that when I come to see my child, I shall be able to conceal my being the mother of it? Do you think that possible?”
606.moll_flanders_14_defoe_64kb_21|“if you discover it, the nurse shall be never the wiser; for she shall be forbid to ask any questions about you, or to take any notice. If she offers it, she shall lose the money which you are suppose to give her, and the child shall be taken from her too.”
606.moll_flanders_14_defoe_64kb_22|“Sir, if you shall have occasion for a minister, I have a friend a little way off that will serve you, and be as private as you please.
606.moll_flanders_14_defoe_64kb_23|“Very well, I believe I shall.”
606.moll_flanders_14_defoe_64kb_24|“What do you mean?
606.moll_flanders_14_defoe_64kb_25|“What, in an inn, and upon the road! Bless us all,
606.moll_flanders_14_defoe_64kb_26|“how can you talk so?
606.moll_flanders_14_defoe_64kb_27|“Oh, I can talk so very well,
606.moll_flanders_14_defoe_64kb_28|“I came a-purpose to talk so, and I’ll show you that I did
606.moll_flanders_14_defoe_64kb_29|“You fright me,
606.moll_flanders_14_defoe_64kb_30|“what are all these?
606.moll_flanders_14_defoe_64kb_31|“Don’t be frighted, my dear,
606.moll_flanders_14_defoe_64kb_32|“Don’t be frighted; you shall see what it is all
606.moll_flanders_14_defoe_64kb_33|“Why, ay,
606.moll_flanders_14_defoe_64kb_34|“that’s the question I wanted to have you ask me
606.moll_flanders_14_defoe_64kb_35|“is for another occasion,
606.moll_flanders_14_defoe_64kb_36|“Well, but let me see it, though,
606.moll_flanders_14_defoe_64kb_37|“I guess what it is; I think you are mad.
606.moll_flanders_14_defoe_64kb_38|“I should have been mad if I had done less,
606.moll_flanders_14_defoe_64kb_39|“Well, but let me see it.
606.moll_flanders_14_defoe_64kb_40|“first look here
606.moll_flanders_14_defoe_64kb_41|“are you distracted? Why, you were fully satisfied that I would comply and yield at first word, or resolved to take no denial.
606.moll_flanders_14_defoe_64kb_42|“The last is certainly the case,
606.moll_flanders_14_defoe_64kb_43|“But you may be mistaken,
606.moll_flanders_14_defoe_64kb_44|“how can you think so? I must not be denied, I can’t be denied
606.moll_flanders_14_defoe_64kb_45|“Why, you resolve not to be denied, indeed, I can’t be denied.
606.moll_flanders_14_defoe_64kb_46|“then you shan’t be denied,
606.moll_flanders_14_defoe_64kb_47|“what is he going to do?
606.moll_flanders_14_defoe_64kb_48|“my friend is in the house
606.moll_flanders_14_defoe_64kb_49|“To put you out of doubt of that,
606.moll_flanders_14_defoe_64kb_50|“read this paper
606.moll_flanders_14_defoe_64kb_51|“I am satisfied,
606.moll_flanders_14_defoe_64kb_52|“where is the lady?
606.moll_flanders_14_defoe_64kb_53|“You shall see her presently,
606.moll_flanders_14_defoe_64kb_54|“but he asks to see you
606.moll_flanders_14_defoe_64kb_55|“’Tis time enough,
606.moll_flanders_14_defoe_64kb_56|“in the morning, is it not?
606.moll_flanders_14_defoe_64kb_57|“my dear, he seemed to scruple whether it was not some young girl stolen from her parents, and I assured him we were both of age to command our own consent; and that made him ask to see you.
606.moll_flanders_14_defoe_64kb_58|“do as you please
606.moll_flanders_14_defoe_64kb_59|“Well, sir,
606.moll_flanders_14_defoe_64kb_60|“every ill turn has some good in it. The disappointment, sir,
606.moll_flanders_14_defoe_64kb_61|“was yours, and the good turn is mine, for if you had met at Stony-Stratford I had not had the honour to marry you. Landlord, have you a Common Prayer Book?”
606.moll_flanders_14_defoe_64kb_62|“Lord, sir,
606.moll_flanders_14_defoe_64kb_63|“what do you mean? What, to marry in an inn, and at night too?
606.moll_flanders_13_defoe_64kb_0|“come back, come back. I’ll give you all I have; I’ll beg, I’ll starve with you.
606.moll_flanders_13_defoe_64kb_1|“how could you go away from me?
606.moll_flanders_13_defoe_64kb_2|“do not think I am in jest, for if ever I heard your voice in my life, I heard you call me aloud, and sometimes I thought I saw you running after me.
606.moll_flanders_13_defoe_64kb_3|“what did I say?
606.moll_flanders_13_defoe_64kb_4|“You called aloud,
606.moll_flanders_13_defoe_64kb_5|“and said, O Jemmy! O Jemmy! come back, come back.”
606.moll_flanders_13_defoe_64kb_6|“do not laugh, for, depend upon it, I heard your voice as plain as you hear mine now; if you please, I’ll go before a magistrate and make oath of it.
606.moll_flanders_13_defoe_64kb_7|“Well, you shall go away from me no more; I’ll go all over the world with you rather.
606.moll_flanders_13_defoe_64kb_8|“it cost me some tears all alone by myself, to think how much happier they were than their master, for they could go to the next gentleman’s house to see for a service, whereas,
606.moll_flanders_13_defoe_64kb_9|“I knew not wither to go, or what to do with myself.”
606.moll_flanders_13_defoe_64kb_10|“I believe this lady’s trouble is of a kind that is pretty much in your way, and therefore if you can do anything for her, pray do, for she is a very civil gentlewoman
606.moll_flanders_13_defoe_64kb_11|“that is with child has a father for it,
606.moll_flanders_13_defoe_64kb_12|“to have a husband that cannot appear, is to have no husband in the sense of the case; and, therefore, whether you are a wife or a mistress is all one to me.”
606.moll_flanders_13_defoe_64kb_13|“I trouble you with all this, madam,
606.moll_flanders_13_defoe_64kb_14|“I understand you, madam
606.moll_flanders_13_defoe_64kb_15|“you have no security to bring to prevent the parish impertinences usual in such cases, and perhaps,
606.moll_flanders_13_defoe_64kb_16|“do not know very well how to dispose of the child when it comes.
606.moll_flanders_13_defoe_64kb_17|“is not so much my concern as the first.
606.moll_flanders_13_defoe_64kb_18|“dare you put yourself into my hands? I live in such a place; though I do not inquire after you, you may inquire after me. My name is B — — ; I live in such a street
606.moll_flanders_13_defoe_64kb_19|“and if that be answered you shall be entirely easy for all the rest.”
606.moll_flanders_13_defoe_64kb_20|“Madam, I believe I understand you. I thank God, though I want friends in this part of the world, I do not want money, so far as may be necessary, though I do not abound in that neither
606.moll_flanders_13_defoe_64kb_21|“Well, madam,
606.moll_flanders_13_defoe_64kb_22|“that is the thing indeed, without which nothing can be done in these cases; and yet,
606.moll_flanders_13_defoe_64kb_23|“you shall see that I will not impose upon you, or offer anything that is unkind to you, and if you desire it, you shall know everything beforehand, that you may suit yourself to the occasion, and be neither costly or sparing as you see fit.”
606.moll_flanders_13_defoe_64kb_24|“And perhaps, madam,
606.moll_flanders_13_defoe_64kb_25|“you will make me the less welcome upon that account.
606.moll_flanders_13_defoe_64kb_26|“No, not at all,
606.moll_flanders_13_defoe_64kb_27|“for where I have one of the third sort I have two of the second, and four to one of the first, and I get as much by them in proportion as by any; but if you doubt my care of you, I will allow any friend you have to overlook and see if you are well waited on or no.”
606.moll_flanders_13_defoe_64kb_28|“In the first place, madam,
606.moll_flanders_13_defoe_64kb_29|“I would have you observe that here is three months’ keeping; you are but ten shillings a week; I undertake to say you will not complain of my table. I suppose,
606.moll_flanders_13_defoe_64kb_30|“you do not live cheaper where you are now?
606.moll_flanders_13_defoe_64kb_31|“No, indeed,
606.moll_flanders_13_defoe_64kb_32|“not so cheap, for I give six shillings per week for my chamber, and find my own diet as well as I can, which costs me a great deal more.”
606.moll_flanders_13_defoe_64kb_33|“Then, madam,
606.moll_flanders_13_defoe_64kb_34|“if the child should not live, or should be dead-born, as you know sometimes happens, then there is the minister’s article saved; and if you have no friends to come to you, you may save the expense of a supper; so that take those articles out, madam,
606.moll_flanders_13_defoe_64kb_35|“your lying in will not cost you above £5, 3s. in all more than your ordinary charge of living.”
606.moll_flanders_13_defoe_64kb_36|“Oh dear,
606.moll_flanders_13_defoe_64kb_37|“Madam, I do not question you do your part honestly, but what those people do afterwards is the main question
2447.thousand_nights_vol02_16_burton_64kb_0|"This man is but one, and ye are an hundred: so if ye would attack him, come out against him, one after one, that it may appear to the King which is the valiant.
2447.thousand_nights_vol02_16_burton_64kb_1|"By the truth of the Messiah, thou sayest sooth, and none but I shall sally out against him first.
2447.thousand_nights_vol02_16_burton_64kb_2|"Wait till I go to him and acquaint him with the case and hear what answer he will make. If he consent, 'tis well; but if he refuse, ye shall on no wise come to him, for I and my handmaids and whosoever is in the convent will be his ransom.
2447.thousand_nights_vol02_16_burton_64kb_3|"How came I to adventure and play with my life by coming to the country of the Greeks?
2447.thousand_nights_vol02_16_burton_64kb_4|"Indeed their onset, one after one, would be overburdensome to them. Will they not come out against me, ten by ten?
2447.thousand_nights_vol02_16_burton_64kb_5|"That would be villeiny,
2447.thousand_nights_vol02_16_burton_64kb_6|"Let one have at one.
2447.thousand_nights_vol02_16_burton_64kb_7|"Take wreak for your chief!
2447.thousand_nights_vol02_16_burton_64kb_8|"O ye servants of the Messiah, avenge your comrade!
2447.thousand_nights_vol02_16_burton_64kb_9|"None but the gate-keepers;
2447.thousand_nights_vol02_16_burton_64kb_10|"Now by the truth of the Messiah, I will not be a niggard of myself for my guest; nor will I abandon him though for this I abide a reproach and a by-word in the land of the Greeks.
2447.thousand_nights_vol02_16_burton_64kb_11|"Allah bless thee, O Sharrkan! The Cavaliers may well glory in the like of thee.
2447.thousand_nights_vol02_16_burton_64kb_12|"O lady mine, wherefore didst thou don that coat of mail and bare thy brand?
2447.thousand_nights_vol02_16_burton_64kb_13|"To guard thee against these caitiffs,"
2447.thousand_nights_vol02_16_burton_64kb_14|"O Princess, it is not our custom to ask leave of thee for the King's messengers, and especially for the chief of his Knights.
2447.thousand_nights_vol02_16_burton_64kb_15|"I think ye were minded only to disgrace me and murder my guest;
2447.thousand_nights_vol02_16_burton_64kb_16|"Of a truth, they deserved even more than that!
2447.thousand_nights_vol02_16_burton_64kb_17|"By Allah, none shall come at thee, while life is in my bosom! But hast thou patience to bear parting from thy parents and thy people?
2447.thousand_nights_vol02_16_burton_64kb_18|"Now is my heart at ease; but there remaineth one other condition for thee.
2447.thousand_nights_vol02_16_burton_64kb_19|"It is that thou return with thy host to thine own country.
2447.thousand_nights_vol02_16_burton_64kb_20|"O lady mine, my father, King Omar bin al- Nu'uman, sent me to wage war upon thy sire, on account of the treasure he plundered from the King of Constantinople, and amongst the rest three great jewels, noted givers of good fortune.
2447.thousand_nights_vol02_16_burton_64kb_21|"Praise be to Allah who hath bestowed thee on me and appointed thee to be the cause of my salvation and the salvation of whoso is with me! But 'tis grievous to me to part from thee and I know not what will become of thee after my departure.
2447.thousand_nights_vol02_16_burton_64kb_22|"Go now to thine army,
2447.thousand_nights_vol02_16_burton_64kb_23|"Forget not the compact which is between me and thee;
2447.thousand_nights_vol02_16_burton_64kb_24|"Let us at once leave these lands; for the envoys who came with us are gone to inform the King of our approach, and haply he will hasten to fall on us and take us prisoners.
2447.thousand_nights_vol02_16_burton_64kb_25|"March! March!
2447.thousand_nights_vol02_16_burton_64kb_26|"By the virtue of John and Mary, we have won to our wish! We have been following you by forced marches, night and day, till we forewent you to this place. So dismount and lay down your arms and yield yourselves, that we may grant you your lives.
2447.thousand_nights_vol02_16_burton_64kb_27|"When the morn shall morrow, we will draw out and defy them, for we are an hundred to their hundred; and we will seek aid against them from the Lord of the Heavens.
2447.thousand_nights_vol02_16_burton_64kb_28|"Verily this day we did not win our will of these;
2447.thousand_nights_vol02_16_burton_64kb_29|"At early dawn when the morrow shall morn, we will draw out and challenge them, one after one.
2447.thousand_nights_vol02_16_burton_64kb_30|"Our foes have determined like ourselves to do their devoir; so up and at them; and lay on load.
2447.thousand_nights_vol02_16_burton_64kb_31|"Let there be no general engagement betwixt us this day, save by the duello, a champion of yours against a champion of ours.
2447.thousand_nights_vol02_16_burton_64kb_32|"Ho! who is for smiting? Let no dastard engage me this day nor nidering!
2447.thousand_nights_vol02_16_burton_64kb_33|"To-morrow shall decide the matter!
2447.thousand_nights_vol02_16_burton_64kb_34|"O Sharrkan, champions are not wont to do thus! This is the act of a man accustomed to be beaten by a woman."
2447.thousand_nights_vol02_16_burton_64kb_35|"Praise be to Allah for safety and for my reunion with thee, O Queen of the age!
2447.thousand_nights_vol02_16_burton_64kb_36|"It is the like of you that Kings keep in store for the need-hour.
2447.thousand_nights_vol02_26_burton_64kb_0|"Go, fetch me the man who is repeating this poetry!
2447.thousand_nights_vol02_26_burton_64kb_1|"Of a truth I heard him not and I wot him not and folks are all sleeping.
2447.thousand_nights_vol02_26_burton_64kb_2|"Whomsoever thou seest awake, he is the reciter.
2447.thousand_nights_vol02_26_burton_64kb_3|"Art thou he who repeated poetry but now and my lady heard him?
2447.thousand_nights_vol02_26_burton_64kb_4|"By Allah, 'twas not I!
2447.thousand_nights_vol02_26_burton_64kb_5|"Who then was the reciter?: point him out to me. Thou must know who it was, seeing that thou art awake.
2447.thousand_nights_vol02_26_burton_64kb_6|"Haply the Eunuch will do him some hurt
2447.thousand_nights_vol02_26_burton_64kb_7|"By Allah, I know not who it was.
2447.thousand_nights_vol02_26_burton_64kb_8|"By Allah, thou liest, for there is none on wake here but thou! So needs must thou know him.
2447.thousand_nights_vol02_26_burton_64kb_9|"I tell thee the truth!: some passer by, some wayfarer must have recited the verses and disturbed me and kept me awake; Allah requite him!
2447.thousand_nights_vol02_26_burton_64kb_10|"If thou happen upon him, point him out to me and I will lay hands on him and bring him to the door of our lady's litter or do thou take him with thine own hand.
2447.thousand_nights_vol02_26_burton_64kb_11|"Go thou back and I will bring him to thee.
2447.thousand_nights_vol02_26_burton_64kb_12|"None knoweth who it was; it must have been some passer by, some wayfarer.
2447.thousand_nights_vol02_26_burton_64kb_13|"What wilt thou do?
2447.thousand_nights_vol02_26_burton_64kb_14|"I have a mind to repeat somewhat of poetry, that I may quench therewith the fire of my heart.
2447.thousand_nights_vol02_26_burton_64kb_15|"Thou knowest not what befel me whilst thou wast a faint, and how I escaped death only by beguiling the Eunuch.
2447.thousand_nights_vol02_26_burton_64kb_16|"Tell me what happened,
2447.thousand_nights_vol02_26_burton_64kb_17|"Who is it would forbid me to recite? I will surely recite, befal me what may; for I am near mine own land and care for none.
2447.thousand_nights_vol02_26_burton_64kb_18|"Thy design is naught save to lose thy life;
2447.thousand_nights_vol02_26_burton_64kb_19|"Needs must I recite verses.
2447.thousand_nights_vol02_26_burton_64kb_20|"I will not be turned away from my purpose."
2447.thousand_nights_vol02_26_burton_64kb_21|"Beware how thou come back to me and report, I could not find him.
2447.thousand_nights_vol02_26_burton_64kb_22|"It was thou didst recite the verses!
2447.thousand_nights_vol02_26_burton_64kb_23|"No, by Allah, O chief of the people, it was not I!
2447.thousand_nights_vol02_26_burton_64kb_24|"I will not leave thee till thou show me who it was that recited the verses, for I dread returning to my lady without him.
2447.thousand_nights_vol02_26_burton_64kb_25|"Rise up and fare with me,
2447.thousand_nights_vol02_26_burton_64kb_26|"and tell my lady this with thine own mouth, for I have seen none awake save thyself.
2447.thousand_nights_vol02_26_burton_64kb_27|"Come, sit up, that I may tell thee what hath happened.
2447.thousand_nights_vol02_26_burton_64kb_28|"Let me alone; I will take no heed of this and I care for none, for I am mine own country."
2447.thousand_nights_vol02_26_burton_64kb_29|"Peace be with thee, O my lord!
2447.thousand_nights_vol02_26_burton_64kb_30|"And on thee be peace,
2447.thousand_nights_vol02_26_burton_64kb_31|"and the mercy of Allah and His blessings!
2447.thousand_nights_vol02_26_burton_64kb_32|"O my lord, I have sought thee these several times this night, for my mistress biddeth thee to her.
2447.thousand_nights_vol02_26_burton_64kb_33|"And who be this bitch that seeketh for me? Allah curse her and curse her husband with her!"
2447.thousand_nights_vol02_26_burton_64kb_34|"Alas the pity of his youth! To-morrow they will hang him.
2447.thousand_nights_vol02_26_burton_64kb_35|"How base it will be of him, if he say it was I who bade him recite the verses!
2447.thousand_nights_vol02_26_burton_64kb_36|"O my lady, I have brought thee him whom thou soughtest, and he is a youth, fair of face and bearing the marks of wealth and gentle breeding.
2447.thousand_nights_vol02_26_burton_64kb_37|"Let him recite some verses, that I may hear him near hand, and after ask him his name and his condition and his native land.
2447.thousand_nights_vol02_26_burton_64kb_38|"Recite what verses thou knowest, for my lady is here hard by, listening to thee, and after I will ask thee of thy name and thy native country and thy condition.
2447.thousand_nights_vol02_26_burton_64kb_39|"Ask him if he have parted from one he loveth even as his mother or father.
2447.thousand_nights_vol02_26_burton_64kb_40|"Yes, I have parted from every one I loved: but the dearest of all to me was my sister, from whom Fate hath separated me.
2447.thousand_nights_vol02_26_burton_64kb_41|"Allah Almighty reunite him with what he loveth!
2447.thousand_nights_vol02_18_burton_64kb_0|"It remaineth for me only that I yield me to negro slaves, after having refused Kings and Braves!
2447.thousand_nights_vol02_18_burton_64kb_1|"Woe to thee, O Ghazban! How dareth the like of thee to address me such demand, O base-born and obscene-bred? Dost thou deem all folk are alike?
2447.thousand_nights_vol02_18_burton_64kb_2|"Alas, my mistress! Alas, the pity of it! Thou art dead by the hand of a worthless black slave, after all thy knightly prowess!
2447.thousand_nights_vol02_18_burton_64kb_3|"Why do I see thee grown weak in body and yellow of face?
2447.thousand_nights_vol02_18_burton_64kb_4|"O my son, I grant thee this and I have not in my reign a greater than the Castle of Damascus, and the government of it is thine from this time.
2447.thousand_nights_vol02_18_burton_64kb_5|"O our lord, thy children have now learnt knowledge and they are completely versed in the rules of manners and the etiquette of ceremony.
2447.thousand_nights_vol02_18_burton_64kb_6|"I come to ask thy leave to make the pilgrimage.
2447.thousand_nights_vol02_18_burton_64kb_7|"Wait till next year and I will go and thou too.
2447.thousand_nights_vol02_18_burton_64kb_8|"Allah upon thee,
2447.thousand_nights_vol02_18_burton_64kb_9|"take me with thee and deprive me not of visitation to the tomb of the Prophet, whom Allah bless and keep!
2447.thousand_nights_vol02_18_burton_64kb_10|"As soon as it is dark night, do thou come forth from this place, without telling any.
2447.thousand_nights_vol02_18_burton_64kb_11|"O my sister, it is in my mind to visit the Holy House, Jerusalem, and Abraham the Friend of Allah (on whom be peace!).
2447.thousand_nights_vol02_18_burton_64kb_12|"I also desire so to do,
2447.thousand_nights_vol02_18_burton_64kb_13|"There is no Majesty and there is no Might save in Allah, the Glorious, the Great! This is the decree of Allah!
2447.thousand_nights_vol02_18_burton_64kb_14|"Verily is Allah the Orderer of the past and the future!
2447.thousand_nights_vol02_18_burton_64kb_15|"O my sister, I feel recovery drawing near and my heart longeth for a little roast meat.
2447.thousand_nights_vol02_18_burton_64kb_16|"By Allah! O my brother,
2447.thousand_nights_vol02_18_burton_64kb_17|"I have no face to beg; but To-morrow I will enter some rich man's house and serve him and earn somewhat for our living.
2447.thousand_nights_vol02_18_burton_64kb_18|"Of a truth 'tis hard for me to leave thee and thou in this state, but I must despite myself!
2447.thousand_nights_vol02_18_burton_64kb_19|"Allah forbid! Thou wilt be put to shame; but there is no Majesty and there is no Might save in Allah!
2447.thousand_nights_vol02_18_burton_64kb_20|"I wish thee to bear me to the bazar.
2447.thousand_nights_vol02_18_burton_64kb_21|"Carry this sick man to Damascus and leave him in the hospital; haply he may be cured and recover health.
2447.thousand_nights_vol02_18_burton_64kb_22|"On my head be it!
2447.thousand_nights_vol02_18_burton_64kb_23|"How shall I take this sick man to Damascus, and he nigh upon death?
2447.thousand_nights_vol02_18_burton_64kb_24|"Why did they not throw their dead body any where but here?
2447.thousand_nights_vol02_18_burton_64kb_25|"Some one of you who hath eaten a bit of Hashish and hath thrown himself down in whatso place it be!
2447.thousand_nights_vol02_18_burton_64kb_26|"There is no Majesty and there is no Might save in Allah! verily, I have sinned against this youth, for indeed the Prophet (whom Allah bless and keep!) enjoineth honour to the stranger, more especially when the stranger is sick.
2447.thousand_nights_vol02_18_burton_64kb_27|"Praise be to Allah for the welfare of this youth! O Allah, I beseech Thee by Thy knowledge of hidden things, that Thou make the salvation of this youth to be at my hands!
2447.thousand_nights_vol02_27_burton_64kb_0|"Allah reunite him with what he loveth!
2447.thousand_nights_vol02_27_burton_64kb_1|"Tell him to let me hear somewhat anent his separation from his countrymen and his country.
2447.thousand_nights_vol02_27_burton_64kb_2|"O my brother! O Zau al-Makan!
2447.thousand_nights_vol02_27_burton_64kb_3|"O my sister! O Nuzhat al-Zaman!
2447.thousand_nights_vol02_27_burton_64kb_4|"Come with me into the litter and tell me all that hath befallen thee, and I will tell thee what happened to me.
2447.thousand_nights_vol02_27_burton_64kb_5|"Do thou begin thy tale.
2447.thousand_nights_vol02_27_burton_64kb_6|"Praised be Allah who hath vouchsafed thee to me and ordained that, even as we left our father together, so together shall we return to him!
2447.thousand_nights_vol02_27_burton_64kb_7|"Of a truth my brother Sharrkan gave me in marriage to this Chamberlain that he might carry me to my father. And this is what befel me from first to last; so now tell me how it hath fared with thee since I left thee.
2447.thousand_nights_vol02_27_burton_64kb_8|"Of a truth, O my sister, this Fireman hath dealt with me in such benevolent wise as would not lover with lass nor sire with son, for that he fasted and gave me to eat, and he walked whilst he made me ride; and I owe my life to him.
2447.thousand_nights_vol02_27_burton_64kb_9|"Allah willing, we will requite him for all this, according to our power.
2447.thousand_nights_vol02_27_burton_64kb_10|"Take thy reward for glad tidings, O face of good omen! It was thy hand reunited me with my brother; so the purse I gave thee and all in it are thine. But now go to thy master and bring him quickly to me.
2447.thousand_nights_vol02_27_burton_64kb_11|"Know, O Chamberlain, that thou hast married no slave girl; far from it, thou hast taken to wife the daughter of King Omar bin al-Nu'uman for I am Nuzhat al- Zaman, and this is my brother, Zau al-Makan.
2447.thousand_nights_vol02_27_burton_64kb_12|"We are now near our country and I would be left alone with my brother, that we may enjoy each other's company and take our fill of it ere we reach Baghdad; for we have been parted a long, long time.
2447.thousand_nights_vol02_27_burton_64kb_13|"Be it as thou biddest,
2447.thousand_nights_vol02_27_burton_64kb_14|"Bid the Eunuch bring me the Fireman and give him a horse to ride and ration him with a tray of food morning and evening, and let him be forbidden to leave us.
2447.thousand_nights_vol02_27_burton_64kb_15|"I hear and I obey;
2447.thousand_nights_vol02_27_burton_64kb_16|"Indeed, I warned him for the love of Allah, but he would not listen to me; Oh would I knew what is become of him!
2447.thousand_nights_vol02_27_burton_64kb_17|"Verily he knoweth not the value of the good offices I have done him! I believe he hath denounced me to the Eunuch (hence these pages et about me) and he hath made me an accomplice in his crime.
2447.thousand_nights_vol02_27_burton_64kb_18|"What I feared hath befallen me.
2447.thousand_nights_vol02_27_burton_64kb_19|"'Twas as I feared the coming ills discerning: * But unto Allah we are all returning."
2447.thousand_nights_vol02_27_burton_64kb_20|"Take him off the ass.
2447.thousand_nights_vol02_27_burton_64kb_21|"If a hair of him be lost, you will be lost with it.
2447.thousand_nights_vol02_27_burton_64kb_22|"O Chief, I am neither this youth's brother nor am I akin to him, nor is he sib to me; but I was a Fireman in a Hammam and found him cast out, in his sickness, on the dung heap.
2447.thousand_nights_vol02_27_burton_64kb_23|"Thou disturbedst our mistress by reciting verses, thou and this youth: but fear nothing for thy self;
2447.thousand_nights_vol02_27_burton_64kb_24|"What is the matter and what are these troops, that ye do this with us?
2447.thousand_nights_vol02_27_burton_64kb_25|"Who art thou; and whence comest thou, and whither art thou bound?
2447.thousand_nights_vol02_27_burton_64kb_26|"I am the Chamberlain of the Emir of Damascus, King Sharrkan, son of Omar bin al-Nu'uman, Lord of Baghdad and of the land of Khorasan, and I bring tribute and presents from him to his father in Baghdad.
2447.thousand_nights_vol02_27_burton_64kb_27|"In very sooth King Omar is dead and he died not but of poison. So fare ye forwards; no harm shall befal you till you join his Grand Wazir, Dandan.
2447.thousand_nights_vol02_27_burton_64kb_28|"Oh for our disappointment in this our journey!
2447.thousand_nights_vol02_19_burton_64kb_0|"What is now thy state, O my son?
2447.thousand_nights_vol02_19_burton_64kb_1|"Praise be to Allah,
2447.thousand_nights_vol02_19_burton_64kb_2|"I am well and like to recover, if such be the will of Allah Almighty at this time.
2447.thousand_nights_vol02_19_burton_64kb_3|"Kill two of these for him every day, one at dawn of day and the other at fall of day.
2447.thousand_nights_vol02_19_burton_64kb_4|"Eat, O my son!
2447.thousand_nights_vol02_19_burton_64kb_5|"How is it with thee now, O my son?
2447.thousand_nights_vol02_19_burton_64kb_6|"Thanks be to Allah for recovery!
2447.thousand_nights_vol02_19_burton_64kb_7|"may the Almighty requite thee thy kindness to me.
2447.thousand_nights_vol02_19_burton_64kb_8|"O my master, in Allah's name, walk in and I will wash thy body.
2447.thousand_nights_vol02_19_burton_64kb_9|"This is doing injury to the keeper's rights.
2447.thousand_nights_vol02_19_burton_64kb_10|"The master overwhelmeth us with his favours!
2447.thousand_nights_vol02_19_burton_64kb_11|"Thou art he whom the Almighty vouchsafed to me and made the cause of my cure!
2447.thousand_nights_vol02_19_burton_64kb_12|"and tell us the cause of thy coming to this city and whence thou art. Thy face showeth signs of gentle breeding.
2447.thousand_nights_vol02_19_burton_64kb_13|"Tell me first how thou camest to fall in with me,
2447.thousand_nights_vol02_19_burton_64kb_14|"and after I will tell thee my story.
